,time_start,time_end,table_id
35,2020-10-04T00:28:48.000Z,2020-10-04T02:01:42.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2020278002848_O10257_03_T06171_02_003_02_V002
36,2020-10-07T22:56:10.000Z,2020-10-08T00:29:04.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2020281225610_O10318_03_T08864_02_003_02_V002
37,2020-10-11T21:22:06.000Z,2020-10-11T22:54:59.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2020285212206_O10379_03_T07594_02_003_02_V002
38,2020-12-16T13:22:36.000Z,2020-12-16T14:55:29.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2020351132236_O11397_02_T11140_02_003_02_V002
39,2020-12-20T11:48:53.000Z,2020-12-20T13:21:47.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2020355114853_O11458_02_T08294_02_003_02_V002
40,2020-12-24T10:15:07.000Z,2020-12-24T11:48:01.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2020359101507_O11519_02_T06871_02_003_02_V002
41,2020-12-28T08:41:17.000Z,2020-12-28T10:14:10.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2020363084117_O11580_02_T09717_02_003_02_V002
42,2021-01-01T07:07:27.000Z,2021-01-01T08:40:20.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021001070727_O11641_02_T11293_02_003_02_V002
43,2021-01-05T05:33:32.000Z,2021-01-05T07:06:25.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021005053332_O11702_02_T08447_02_003_02_V002
44,2021-01-09T03:59:37.000Z,2021-01-09T05:32:30.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021009035937_O11763_02_T07024_02_003_02_V002
45,2021-01-13T02:25:36.000Z,2021-01-13T03:58:30.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021013022536_O11824_02_T07177_02_003_02_V002
46,2021-01-17T00:51:32.000Z,2021-01-17T02:24:25.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021017005132_O11885_02_T10176_02_003_02_V002
47,2021-01-20T23:17:28.000Z,2021-01-21T00:50:21.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021020231728_O11946_02_T05907_02_003_02_V002
48,2021-01-24T21:44:38.000Z,2021-01-24T23:17:32.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021024214438_O12007_02_T07330_02_003_02_V002
49,2021-02-05T17:06:34.000Z,2021-02-05T18:39:28.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021036170634_O12190_02_T11293_02_003_02_V002
50,2021-02-13T14:00:59.000Z,2021-02-13T15:33:53.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021044140059_O12312_02_T09564_02_003_02_V002
51,2021-04-06T23:18:54.000Z,2021-04-07T00:51:49.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021096231854_O13124_03_T09017_02_003_02_V002
52,2021-04-10T21:46:22.000Z,2021-04-10T23:19:17.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021100214622_O13185_03_T10440_02_003_02_V002
53,2021-04-14T20:13:50.000Z,2021-04-14T21:46:44.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021104201350_O13246_03_T06018_02_003_02_V002
54,2021-04-22T17:08:36.000Z,2021-04-22T18:41:30.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021112170836_O13368_03_T10134_02_003_02_V002
55,2021-04-26T15:35:52.000Z,2021-04-26T17:08:46.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021116153552_O13429_03_T07135_02_003_02_V002
56,2021-06-28T08:39:08.000Z,2021-06-28T10:12:03.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021179083908_O14401_02_T08753_02_003_02_V002
57,2021-07-06T05:34:54.000Z,2021-07-06T07:07:49.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021187053454_O14523_02_T08447_02_003_02_V002
58,2021-07-10T04:02:46.000Z,2021-07-10T05:35:41.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021191040246_O14584_02_T11140_02_003_02_V002
59,2021-08-19T18:03:39.000Z,2021-08-19T19:36:35.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021231180339_O15213_03_T05865_02_003_02_V002
60,2021-08-23T16:31:44.000Z,2021-08-23T18:04:40.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021235163144_O15274_03_T05712_02_003_02_V002
61,2021-09-16T01:12:15.000Z,2021-09-16T02:45:11.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021259011215_O15636_02_T08294_02_003_02_V002
62,2021-10-06T22:58:25.000Z,2021-10-07T00:31:19.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021279225825_O15960_03_T03325_02_003_02_V002
63,2021-10-10T21:25:36.000Z,2021-10-10T22:58:30.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021283212536_O16021_03_T04748_02_003_02_V002
64,2021-10-14T19:53:25.000Z,2021-10-14T21:26:21.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021287195325_O16082_03_T07288_02_003_02_V002
65,2021-10-18T18:21:32.000Z,2021-10-18T19:54:27.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021291182132_O16143_03_T08558_02_003_02_V002
